,leaf,stem,reward,contingency,date,session,trial
0,4,B,1,805020802050,20200213,1,0
1,3,B,1,805020802050,20200213,1,1
2,1,A,1,805020802050,20200213,1,2
3,2,A,0,805020802050,20200213,1,3
4,1,A,1,805020802050,20200213,1,4
5,6,C,1,805020802050,20200213,1,5
6,5,C,0,805020802050,20200213,1,6
7,6,C,1,805020802050,20200213,1,7
8,5,C,0,805020802050,20200213,1,8
9,3,B,0,805020802050,20200213,1,9
10,4,B,1,805020802050,20200213,1,10
11,3,B,0,805020802050,20200213,1,11
12,4,B,1,805020802050,20200213,1,12
13,3,B,0,805020802050,20200213,1,13
14,4,B,1,805020802050,20200213,1,14
15,6,C,0,805020802050,20200213,1,15
16,5,C,0,805020802050,20200213,1,16
17,6,C,0,805020802050,20200213,1,17
18,2,A,1,805020802050,20200213,1,18
19,1,A,0,805020802050,20200213,1,19
20,2,A,1,805020802050,20200213,1,20
21,4,B,1,805020802050,20200213,1,21
22,3,B,0,805020802050,20200213,1,22
23,4,B,1,805020802050,20200213,1,23
24,2,A,0,805020802050,20200213,1,24
25,1,A,0,805020802050,20200213,1,25
26,2,A,0,805020802050,20200213,1,26
27,1,A,1,805020802050,20200213,1,27
28,2,A,0,805020802050,20200213,1,28
29,3,B,0,805020802050,20200213,1,29
30,4,B,0,805020802050,20200213,1,30
31,3,B,0,805020802050,20200213,1,31
32,6,C,1,805020802050,20200213,1,32
33,5,C,0,805020802050,20200213,1,33
34,6,C,0,805020802050,20200213,1,34
35,5,C,0,805020802050,20200213,1,35
36,6,C,1,805020802050,20200213,1,36
37,1,A,1,805020802050,20200213,1,37
38,2,A,1,805020802050,20200213,1,38
39,1,A,1,805020802050,20200213,1,39
40,2,A,1,805020802050,20200213,1,40
41,1,A,1,805020802050,20200213,1,41
42,2,A,1,805020802050,20200213,1,42
43,1,A,1,805020802050,20200213,1,43
44,2,A,0,805020802050,20200213,1,44
45,1,A,1,805020802050,20200213,1,45
46,2,A,0,805020802050,20200213,1,46
47,1,A,0,805020802050,20200213,1,47
48,2,A,0,805020802050,20200213,1,48
49,1,A,1,805020802050,20200213,1,49
50,2,A,0,805020802050,20200213,1,50
51,3,B,1,805020802050,20200213,1,51
52,4,B,1,805020802050,20200213,1,52
53,3,B,1,805020802050,20200213,1,53
54,4,B,1,805020802050,20200213,1,54
55,3,B,0,805020802050,20200213,1,55
56,4,B,1,805020802050,20200213,1,56
57,3,B,1,805020802050,20200213,1,57
58,4,B,1,805020802050,20200213,1,58
59,3,B,0,805020802050,20200213,1,59
60,4,B,1,805020802050,20200213,1,60
61,1,A,1,805020802050,20200213,1,61
62,2,A,0,805020802050,20200213,1,62
63,1,A,1,805020802050,20200213,1,63
64,2,A,1,805020802050,20200213,1,64
65,1,A,1,805020802050,20200213,1,65
66,2,A,0,805020802050,20200213,1,66
67,1,A,1,805020802050,20200213,1,67
68,2,A,0,805020802050,20200213,1,68
69,1,A,1,805020802050,20200213,1,69
70,2,A,0,805020802050,20200213,1,70
71,1,A,1,805020802050,20200213,1,71
72,2,A,1,805020802050,20200213,1,72
73,1,A,1,805020802050,20200213,1,73
74,2,A,1,805020802050,20200213,1,74
75,1,A,1,805020802050,20200213,1,75
76,2,A,1,805020802050,20200213,1,76
77,1,A,1,805020802050,20200213,1,77
78,2,A,0,805020802050,20200213,1,78
79,1,A,1,805020802050,20200213,1,79
80,2,A,0,805020802050,20200213,1,80
81,1,A,1,805020802050,20200213,1,81
82,2,A,0,805020802050,20200213,1,82
83,1,A,1,805020802050,20200213,1,83
84,2,A,0,805020802050,20200213,1,84
85,1,A,0,805020802050,20200213,1,85
86,2,A,1,805020802050,20200213,1,86
87,1,A,0,805020802050,20200213,1,87
88,2,A,0,805020802050,20200213,1,88
89,1,A,1,805020802050,20200213,1,89
90,2,A,1,805020802050,20200213,1,90
91,1,A,1,805020802050,20200213,1,91
92,2,A,0,805020802050,20200213,1,92
93,1,A,0,805020802050,20200213,1,93
94,2,A,0,805020802050,20200213,1,94
95,1,A,1,805020802050,20200213,1,95
96,2,A,1,805020802050,20200213,1,96
97,1,A,1,805020802050,20200213,1,97
98,2,A,0,805020802050,20200213,1,98
99,3,B,0,805020802050,20200213,1,99
100,4,B,1,805020802050,20200213,1,100
101,3,B,1,805020802050,20200213,1,101
102,4,B,1,805020802050,20200213,1,102
103,3,B,0,805020802050,20200213,1,103
104,4,B,1,805020802050,20200213,1,104
105,3,B,1,805020802050,20200213,1,105
106,4,B,1,805020802050,20200213,1,106
107,3,B,0,805020802050,20200213,1,107
108,4,B,0,805020802050,20200213,1,108
109,3,B,0,805020802050,20200213,1,109
110,4,B,1,805020802050,20200213,1,110
111,3,B,0,805020802050,20200213,1,111
112,4,B,1,805020802050,20200213,1,112
113,5,C,0,805020802050,20200213,1,113
114,6,C,1,805020802050,20200213,1,114
115,5,C,0,805020802050,20200213,1,115
116,6,C,1,805020802050,20200213,1,116
117,5,C,0,805020802050,20200213,1,117
118,6,C,0,805020802050,20200213,1,118
119,2,A,0,805020802050,20200213,1,119
120,1,A,1,805020802050,20200213,1,120
121,2,A,0,805020802050,20200213,1,121
122,1,A,1,805020802050,20200213,1,122
123,2,A,1,805020802050,20200213,1,123
124,1,A,0,805020802050,20200213,1,124
125,2,A,0,805020802050,20200213,1,125
126,3,B,0,805020802050,20200213,1,126
127,4,B,1,805020802050,20200213,1,127
128,3,B,0,805020802050,20200213,1,128
129,4,B,0,805020802050,20200213,1,129
130,3,B,0,805020802050,20200213,1,130
131,4,B,1,805020802050,20200213,1,131
132,1,A,1,805020802050,20200213,1,132
133,2,A,1,805020802050,20200213,1,133
134,1,A,1,805020802050,20200213,1,134
135,2,A,1,805020802050,20200213,1,135
136,1,A,0,805020802050,20200213,1,136
137,2,A,1,805020802050,20200213,1,137
138,1,A,1,805020802050,20200213,1,138
139,2,A,0,805020802050,20200213,1,139
140,1,A,0,205080508020,20200213,1,140
141,2,A,1,205080508020,20200213,1,141
142,1,A,1,205080508020,20200213,1,142
143,2,A,0,205080508020,20200213,1,143
144,1,A,0,205080508020,20200213,1,144
145,2,A,0,205080508020,20200213,1,145
146,1,A,0,205080508020,20200213,1,146
147,2,A,1,205080508020,20200213,1,147
148,1,A,0,205080508020,20200213,1,148
149,2,A,0,205080508020,20200213,1,149
150,1,A,0,205080508020,20200213,1,150
151,2,A,1,205080508020,20200213,1,151
152,1,A,0,205080508020,20200213,1,152
153,2,A,1,205080508020,20200213,1,153
154,1,A,0,205080508020,20200213,1,154
155,2,A,1,205080508020,20200213,1,155
156,1,A,0,205080508020,20200213,1,156
157,2,A,0,205080508020,20200213,1,157
158,3,B,1,205080508020,20200213,1,158
159,4,B,1,205080508020,20200213,1,159
160,3,B,1,205080508020,20200213,1,160
161,4,B,1,205080508020,20200213,1,161
162,3,B,1,205080508020,20200213,1,162
163,4,B,0,205080508020,20200213,1,163
164,3,B,1,205080508020,20200213,1,164
165,4,B,1,205080508020,20200213,1,165
166,3,B,1,205080508020,20200213,1,166
167,4,B,1,205080508020,20200213,1,167
168,3,B,0,205080508020,20200213,1,168
169,4,B,0,205080508020,20200213,1,169
170,3,B,1,205080508020,20200213,1,170
171,4,B,1,205080508020,20200213,1,171
172,3,B,1,205080508020,20200213,1,172
173,4,B,1,205080508020,20200213,1,173
174,3,B,1,205080508020,20200213,1,174
175,4,B,1,205080508020,20200213,1,175
176,3,B,1,205080508020,20200213,1,176
177,4,B,0,205080508020,20200213,1,177
178,3,B,1,205080508020,20200213,1,178
179,4,B,1,205080508020,20200213,1,179
180,3,B,1,205080508020,20200213,1,180
181,4,B,0,205080508020,20200213,1,181
