,leaf,stem,reward,contingency,date,session,trial
0,3,B,1,202080502050,20210706,2,0
1,6,C,0,202080502050,20210706,2,1
2,5,C,0,202080502050,20210706,2,2
3,2,A,0,202080502050,20210706,2,3
4,1,A,0,202080502050,20210706,2,4
5,4,B,1,202080502050,20210706,2,5
6,3,B,0,202080502050,20210706,2,6
7,4,B,0,202080502050,20210706,2,7
8,6,C,1,202080502050,20210706,2,8
9,5,C,0,202080502050,20210706,2,9
10,6,C,0,202080502050,20210706,2,10
11,2,A,0,202080502050,20210706,2,11
12,1,A,0,202080502050,20210706,2,12
13,4,B,0,202080502050,20210706,2,13
14,3,B,1,202080502050,20210706,2,14
15,5,C,1,202080502050,20210706,2,15
16,6,C,0,202080502050,20210706,2,16
17,5,C,0,202080502050,20210706,2,17
18,6,C,0,202080502050,20210706,2,18
19,5,C,0,202080502050,20210706,2,19
20,4,B,1,202080502050,20210706,2,20
21,3,B,1,202080502050,20210706,2,21
22,4,B,1,202080502050,20210706,2,22
23,3,B,1,202080502050,20210706,2,23
24,4,B,0,202080502050,20210706,2,24
25,3,B,1,202080502050,20210706,2,25
26,4,B,1,202080502050,20210706,2,26
27,3,B,1,202080502050,20210706,2,27
28,4,B,0,202080502050,20210706,2,28
29,3,B,1,202080502050,20210706,2,29
30,4,B,0,202080502050,20210706,2,30
31,3,B,1,202080502050,20210706,2,31
32,4,B,0,202080502050,20210706,2,32
33,3,B,1,202080502050,20210706,2,33
34,4,B,0,202080502050,20210706,2,34
35,3,B,1,202080502050,20210706,2,35
36,4,B,0,202080502050,20210706,2,36
37,3,B,1,202080502050,20210706,2,37
38,4,B,0,202080502050,20210706,2,38
39,3,B,1,202080502050,20210706,2,39
40,4,B,1,202080502050,20210706,2,40
41,3,B,1,202080502050,20210706,2,41
42,4,B,1,202080502050,20210706,2,42
43,3,B,1,202080502050,20210706,2,43
44,4,B,1,202080502050,20210706,2,44
45,3,B,1,202080502050,20210706,2,45
46,4,B,0,202080502050,20210706,2,46
47,3,B,1,202080502050,20210706,2,47
48,4,B,0,202080502050,20210706,2,48
49,3,B,0,202080502050,20210706,2,49
50,4,B,0,202080502050,20210706,2,50
51,3,B,1,202080502050,20210706,2,51
52,4,B,0,202080502050,20210706,2,52
53,3,B,0,202080502050,20210706,2,53
54,4,B,0,202080502050,20210706,2,54
55,3,B,1,202080502050,20210706,2,55
56,4,B,1,202080502050,20210706,2,56
57,3,B,0,202080502050,20210706,2,57
58,4,B,1,202080502050,20210706,2,58
59,3,B,1,202080502050,20210706,2,59
60,4,B,0,508020205020,20210706,2,60
61,3,B,0,508020205020,20210706,2,61
62,4,B,0,508020205020,20210706,2,62
63,3,B,0,508020205020,20210706,2,63
64,4,B,0,508020205020,20210706,2,64
65,3,B,1,508020205020,20210706,2,65
66,4,B,0,508020205020,20210706,2,66
67,3,B,1,508020205020,20210706,2,67
68,4,B,0,508020205020,20210706,2,68
69,3,B,1,508020205020,20210706,2,69
70,4,B,0,508020205020,20210706,2,70
71,3,B,0,508020205020,20210706,2,71
72,5,C,1,508020205020,20210706,2,72
73,6,C,1,508020205020,20210706,2,73
74,5,C,1,508020205020,20210706,2,74
75,6,C,1,508020205020,20210706,2,75
76,5,C,0,508020205020,20210706,2,76
77,6,C,0,508020205020,20210706,2,77
78,5,C,0,508020205020,20210706,2,78
79,2,A,1,508020205020,20210706,2,79
80,1,A,0,508020205020,20210706,2,80
81,2,A,1,508020205020,20210706,2,81
82,3,B,0,508020205020,20210706,2,82
83,4,B,0,508020205020,20210706,2,83
84,3,B,0,508020205020,20210706,2,84
85,6,C,0,508020205020,20210706,2,85
86,5,C,0,508020205020,20210706,2,86
87,6,C,0,508020205020,20210706,2,87
88,5,C,1,508020205020,20210706,2,88
89,3,B,0,508020205020,20210706,2,89
90,4,B,0,508020205020,20210706,2,90
91,3,B,0,508020205020,20210706,2,91
92,2,A,0,508020205020,20210706,2,92
93,1,A,1,508020205020,20210706,2,93
94,2,A,1,508020205020,20210706,2,94
95,1,A,0,508020205020,20210706,2,95
96,2,A,1,508020205020,20210706,2,96
97,5,C,0,508020205020,20210706,2,97
98,6,C,0,508020205020,20210706,2,98
99,5,C,0,508020205020,20210706,2,99
