,leaf,stem,reward,contingency,date,session,trial
0,5,C,0,202080502050,20210327,1,0
1,6,C,0,202080502050,20210327,1,1
2,3,B,1,202080502050,20210327,1,2
3,4,B,0,202080502050,20210327,1,3
4,1,A,0,202080502050,20210327,1,4
5,2,A,0,202080502050,20210327,1,5
6,6,C,1,202080502050,20210327,1,6
7,5,C,0,202080502050,20210327,1,7
8,6,C,1,202080502050,20210327,1,8
9,3,B,1,202080502050,20210327,1,9
10,4,B,0,202080502050,20210327,1,10
11,3,B,1,202080502050,20210327,1,11
12,2,A,0,202080502050,20210327,1,12
13,1,A,0,202080502050,20210327,1,13
14,6,C,1,202080502050,20210327,1,14
15,5,C,0,202080502050,20210327,1,15
16,6,C,1,202080502050,20210327,1,16
17,3,B,0,202080502050,20210327,1,17
18,4,B,0,202080502050,20210327,1,18
19,1,A,0,202080502050,20210327,1,19
20,2,A,0,202080502050,20210327,1,20
21,3,B,1,202080502050,20210327,1,21
22,1,A,0,202080502050,20210327,1,22
23,2,A,0,202080502050,20210327,1,23
24,1,A,0,202080502050,20210327,1,24
25,6,C,0,202080502050,20210327,1,25
26,5,C,0,202080502050,20210327,1,26
27,6,C,0,202080502050,20210327,1,27
28,3,B,1,202080502050,20210327,1,28
29,4,B,1,202080502050,20210327,1,29
30,3,B,1,202080502050,20210327,1,30
31,4,B,0,202080502050,20210327,1,31
32,3,B,1,202080502050,20210327,1,32
33,2,A,0,202080502050,20210327,1,33
34,1,A,0,202080502050,20210327,1,34
35,2,A,0,202080502050,20210327,1,35
36,1,A,1,202080502050,20210327,1,36
37,3,B,0,202080502050,20210327,1,37
38,4,B,0,202080502050,20210327,1,38
39,3,B,1,202080502050,20210327,1,39
40,4,B,1,202080502050,20210327,1,40
41,3,B,1,202080502050,20210327,1,41
42,4,B,1,202080502050,20210327,1,42
43,3,B,0,202080502050,20210327,1,43
44,4,B,1,202080502050,20210327,1,44
45,3,B,1,202080502050,20210327,1,45
46,6,C,1,202080502050,20210327,1,46
47,5,C,1,202080502050,20210327,1,47
48,6,C,0,202080502050,20210327,1,48
49,5,C,0,202080502050,20210327,1,49
50,6,C,1,202080502050,20210327,1,50
51,5,C,1,202080502050,20210327,1,51
52,6,C,0,202080502050,20210327,1,52
53,5,C,0,202080502050,20210327,1,53
54,6,C,1,202080502050,20210327,1,54
55,2,A,0,202080502050,20210327,1,55
56,1,A,0,202080502050,20210327,1,56
57,3,B,1,202080502050,20210327,1,57
58,4,B,0,202080502050,20210327,1,58
59,3,B,1,202080502050,20210327,1,59
60,6,C,0,508020205020,20210327,1,60
61,5,C,1,508020205020,20210327,1,61
62,6,C,0,508020205020,20210327,1,62
63,5,C,0,508020205020,20210327,1,63
64,6,C,1,508020205020,20210327,1,64
65,5,C,1,508020205020,20210327,1,65
66,6,C,0,508020205020,20210327,1,66
67,5,C,1,508020205020,20210327,1,67
68,6,C,1,508020205020,20210327,1,68
69,5,C,1,508020205020,20210327,1,69
70,6,C,1,508020205020,20210327,1,70
71,5,C,1,508020205020,20210327,1,71
72,6,C,0,508020205020,20210327,1,72
73,5,C,1,508020205020,20210327,1,73
74,6,C,0,508020205020,20210327,1,74
75,5,C,1,508020205020,20210327,1,75
76,6,C,0,508020205020,20210327,1,76
77,5,C,0,508020205020,20210327,1,77
78,6,C,0,508020205020,20210327,1,78
79,5,C,1,508020205020,20210327,1,79
80,6,C,1,508020205020,20210327,1,80
81,5,C,0,508020205020,20210327,1,81
82,6,C,0,508020205020,20210327,1,82
83,5,C,1,508020205020,20210327,1,83
84,6,C,0,508020205020,20210327,1,84
85,5,C,1,508020205020,20210327,1,85
86,3,B,0,508020205020,20210327,1,86
87,4,B,0,508020205020,20210327,1,87
88,3,B,0,508020205020,20210327,1,88
89,2,A,1,508020205020,20210327,1,89
90,1,A,1,508020205020,20210327,1,90
91,2,A,1,508020205020,20210327,1,91
92,1,A,0,508020205020,20210327,1,92
93,2,A,0,508020205020,20210327,1,93
94,1,A,1,508020205020,20210327,1,94
95,4,B,0,508020205020,20210327,1,95
96,3,B,0,508020205020,20210327,1,96
97,6,C,0,508020205020,20210327,1,97
98,5,C,1,508020205020,20210327,1,98
99,6,C,0,508020205020,20210327,1,99
100,5,C,1,508020205020,20210327,1,100
101,6,C,0,508020205020,20210327,1,101
102,5,C,0,508020205020,20210327,1,102
103,6,C,1,508020205020,20210327,1,103
104,5,C,1,508020205020,20210327,1,104
105,6,C,0,508020205020,20210327,1,105
106,5,C,1,508020205020,20210327,1,106
107,6,C,0,508020205020,20210327,1,107
108,5,C,0,508020205020,20210327,1,108
109,6,C,0,508020205020,20210327,1,109
110,5,C,1,508020205020,20210327,1,110
111,6,C,0,508020205020,20210327,1,111
112,5,C,1,508020205020,20210327,1,112
113,2,A,1,508020205020,20210327,1,113
114,1,A,0,508020205020,20210327,1,114
115,2,A,1,508020205020,20210327,1,115
116,3,B,1,508020205020,20210327,1,116
117,4,B,0,508020205020,20210327,1,117
118,3,B,0,508020205020,20210327,1,118
119,4,B,0,508020205020,20210327,1,119
120,3,B,0,202020805080,20210327,1,120
121,4,B,1,202020805080,20210327,1,121
122,3,B,1,202020805080,20210327,1,122
123,4,B,1,202020805080,20210327,1,123
124,3,B,0,202020805080,20210327,1,124
125,4,B,1,202020805080,20210327,1,125
126,3,B,0,202020805080,20210327,1,126
127,4,B,1,202020805080,20210327,1,127
128,3,B,1,202020805080,20210327,1,128
129,4,B,1,202020805080,20210327,1,129
130,3,B,0,202020805080,20210327,1,130
131,4,B,0,202020805080,20210327,1,131
132,3,B,1,202020805080,20210327,1,132
133,4,B,1,202020805080,20210327,1,133
134,3,B,0,202020805080,20210327,1,134
135,4,B,1,202020805080,20210327,1,135
136,3,B,0,202020805080,20210327,1,136
137,4,B,1,202020805080,20210327,1,137
138,3,B,0,202020805080,20210327,1,138
139,4,B,1,202020805080,20210327,1,139
140,3,B,0,202020805080,20210327,1,140
141,4,B,0,202020805080,20210327,1,141
142,3,B,0,202020805080,20210327,1,142
143,4,B,1,202020805080,20210327,1,143
144,2,A,0,202020805080,20210327,1,144
145,1,A,0,202020805080,20210327,1,145
146,2,A,0,202020805080,20210327,1,146
147,4,B,1,202020805080,20210327,1,147
148,3,B,0,202020805080,20210327,1,148
149,4,B,1,202020805080,20210327,1,149
150,3,B,0,202020805080,20210327,1,150
151,4,B,1,202020805080,20210327,1,151
152,6,C,1,202020805080,20210327,1,152
153,5,C,0,202020805080,20210327,1,153
154,6,C,1,202020805080,20210327,1,154
155,5,C,0,202020805080,20210327,1,155
156,6,C,0,202020805080,20210327,1,156
157,5,C,0,202020805080,20210327,1,157
158,6,C,0,202020805080,20210327,1,158
159,5,C,1,202020805080,20210327,1,159
160,6,C,1,202020805080,20210327,1,160
161,5,C,1,202020805080,20210327,1,161
162,4,B,0,202020805080,20210327,1,162
163,3,B,0,202020805080,20210327,1,163
164,4,B,1,202020805080,20210327,1,164
165,3,B,0,202020805080,20210327,1,165
166,4,B,1,202020805080,20210327,1,166
167,3,B,1,202020805080,20210327,1,167
168,4,B,1,202020805080,20210327,1,168
169,3,B,1,202020805080,20210327,1,169
170,4,B,1,202020805080,20210327,1,170
171,3,B,0,202020805080,20210327,1,171
172,4,B,1,202020805080,20210327,1,172
173,3,B,0,202020805080,20210327,1,173
174,4,B,1,202020805080,20210327,1,174
175,3,B,0,202020805080,20210327,1,175
176,4,B,1,202020805080,20210327,1,176
177,3,B,0,202020805080,20210327,1,177
178,4,B,1,202020805080,20210327,1,178
179,3,B,0,202020805080,20210327,1,179
180,6,C,0,508050202020,20210327,2,0
181,5,C,1,508050202020,20210327,2,1
182,6,C,0,508050202020,20210327,2,2
183,5,C,0,508050202020,20210327,2,3
184,3,B,0,508050202020,20210327,2,4
185,4,B,0,508050202020,20210327,2,5
186,2,A,1,508050202020,20210327,2,6
187,1,A,1,508050202020,20210327,2,7
188,3,B,0,508050202020,20210327,2,8
189,4,B,0,508050202020,20210327,2,9
190,3,B,0,508050202020,20210327,2,10
191,4,B,0,508050202020,20210327,2,11
192,3,B,0,508050202020,20210327,2,12
193,4,B,0,508050202020,20210327,2,13
194,6,C,0,508050202020,20210327,2,14
195,5,C,0,508050202020,20210327,2,15
196,6,C,0,508050202020,20210327,2,16
197,5,C,0,508050202020,20210327,2,17
198,2,A,1,508050202020,20210327,2,18
199,1,A,0,508050202020,20210327,2,19
200,2,A,1,508050202020,20210327,2,20
201,3,B,1,508050202020,20210327,2,21
202,4,B,0,508050202020,20210327,2,22
203,3,B,1,508050202020,20210327,2,23
204,4,B,1,508050202020,20210327,2,24
205,3,B,0,508050202020,20210327,2,25
206,4,B,0,508050202020,20210327,2,26
207,3,B,0,508050202020,20210327,2,27
208,4,B,0,508050202020,20210327,2,28
209,2,A,1,508050202020,20210327,2,29
210,1,A,1,508050202020,20210327,2,30
211,2,A,0,508050202020,20210327,2,31
212,3,B,1,508050202020,20210327,2,32
213,4,B,0,508050202020,20210327,2,33
214,3,B,0,508050202020,20210327,2,34
215,4,B,0,508050202020,20210327,2,35
216,3,B,0,508050202020,20210327,2,36
217,4,B,0,508050202020,20210327,2,37
218,6,C,0,508050202020,20210327,2,38
219,5,C,0,508050202020,20210327,2,39
220,6,C,0,508050202020,20210327,2,40
221,5,C,0,508050202020,20210327,2,41
222,6,C,0,508050202020,20210327,2,42
223,5,C,1,508050202020,20210327,2,43
224,3,B,0,508050202020,20210327,2,44
225,4,B,1,508050202020,20210327,2,45
226,3,B,1,508050202020,20210327,2,46
227,2,A,0,508050202020,20210327,2,47
228,1,A,1,508050202020,20210327,2,48
229,2,A,1,508050202020,20210327,2,49
230,1,A,0,508050202020,20210327,2,50
231,2,A,1,508050202020,20210327,2,51
232,1,A,1,508050202020,20210327,2,52
233,2,A,0,508050202020,20210327,2,53
234,1,A,1,508050202020,20210327,2,54
235,2,A,1,508050202020,20210327,2,55
236,1,A,1,508050202020,20210327,2,56
237,2,A,1,508050202020,20210327,2,57
238,1,A,0,508050202020,20210327,2,58
239,2,A,1,508050202020,20210327,2,59
240,1,A,1,502050208020,20210327,2,60
241,2,A,0,502050208020,20210327,2,61
242,1,A,1,502050208020,20210327,2,62
243,2,A,0,502050208020,20210327,2,63
244,1,A,0,502050208020,20210327,2,64
245,2,A,0,502050208020,20210327,2,65
246,4,B,0,502050208020,20210327,2,66
247,3,B,1,502050208020,20210327,2,67
248,4,B,0,502050208020,20210327,2,68
249,3,B,1,502050208020,20210327,2,69
250,5,C,1,502050208020,20210327,2,70
251,6,C,0,502050208020,20210327,2,71
252,5,C,1,502050208020,20210327,2,72
253,6,C,0,502050208020,20210327,2,73
254,5,C,0,502050208020,20210327,2,74
255,6,C,0,502050208020,20210327,2,75
256,5,C,0,502050208020,20210327,2,76
257,3,B,1,502050208020,20210327,2,77
258,4,B,0,502050208020,20210327,2,78
259,3,B,0,502050208020,20210327,2,79
260,4,B,0,502050208020,20210327,2,80
261,3,B,1,502050208020,20210327,2,81
262,2,A,1,502050208020,20210327,2,82
263,1,A,1,502050208020,20210327,2,83
264,2,A,0,502050208020,20210327,2,84
265,1,A,0,502050208020,20210327,2,85
266,2,A,0,502050208020,20210327,2,86
