full,nogo,old,nogonobias,null
333.3348676484789,334.0849506416175,337.01375695654673,337.09395429105246,354.86512745734547
292.72130607038054,291.6067696374876,294.53728819942717,293.31813527468114,326.93745461141384
395.8846011916627,398.031533503769,395.70798640549026,397.8673648833697,435.84173770554884
341.33449930256745,339.6988214767627,344.68374872829975,343.4159666021636,378.3730506715844
440.5325310217758,445.7638878307021,447.8347431595306,451.6728696160225,490.8684848771045
331.0012540305612,332.5649371774282,334.1020558721008,334.85923065685,383.2432522840796
280.9271790857073,283.9637220183357,288.54033129444406,290.61907976172813,296.7367569002504
330.1637038513772,332.7591624359251,332.4362677285319,335.3027145330578,366.61180508092195
248.61912139501217,251.20416123067199,256.8813056357145,259.0730501416149,283.4203702114049
396.29021993681573,397.0148901443928,398.52147174521855,399.9913999701817,430.10858955052976
257.1759258149426,259.988610651154,258.16098166317266,260.3879149303532,293.19312624807725
