full,nogo,old,nogonobias,null
340.4839924774158,340.54171129646767,343.1759728967019,343.15657116647293,354.8651274574763
302.95149703084036,304.8725197174597,304.50681853715434,306.36248259606737,326.9374546107512
394.6461029923807,395.50894303247225,394.78867413907204,395.6779147853098,435.84173770582584
337.9998112259924,337.51940467723705,341.04782768625813,340.4272930451475,378.37305067156234
451.14397045543734,454.1165693912717,456.9685747692813,459.09722126197835,490.8684848772452
347.3931412215503,349.1613417096839,349.7148800718009,351.14886371881477,383.24325228419184
283.42883975959285,283.0347772371672,289.19061186693534,288.83900301809985,296.7367569001391
337.70839012465734,338.64663525741685,341.7516026025366,342.221924481611,366.611805081076
267.95196117049255,269.6804399022309,276.1437985907609,277.19468378897386,283.4203702109668
400.8070575536851,403.5211778445797,404.89640228526764,407.04351988051104,430.1085895507313
263.2876680556843,263.0126506143863,263.57720262633006,263.23741900459265,293.19312624827467
