,leaf,stem,reward,contingency,date,session,trial
0,1,A,1,805020202050,20201124,2,0
1,3,B,0,805020202050,20201124,2,1
2,2,A,1,805020202050,20201124,2,2
3,1,A,1,805020202050,20201124,2,3
4,4,B,0,805020202050,20201124,2,4
5,3,B,0,805020202050,20201124,2,5
6,6,C,0,805020202050,20201124,2,6
7,5,C,0,805020202050,20201124,2,7
8,2,A,1,805020202050,20201124,2,8
9,1,A,1,805020202050,20201124,2,9
10,2,A,0,805020202050,20201124,2,10
11,5,C,0,805020202050,20201124,2,11
12,6,C,0,805020202050,20201124,2,12
13,3,B,0,805020202050,20201124,2,13
14,4,B,0,805020202050,20201124,2,14
15,1,A,1,805020202050,20201124,2,15
16,2,A,1,805020202050,20201124,2,16
17,1,A,1,805020202050,20201124,2,17
18,2,A,1,805020202050,20201124,2,18
19,1,A,1,805020202050,20201124,2,19
20,2,A,1,805020202050,20201124,2,20
21,1,A,0,805020202050,20201124,2,21
22,2,A,1,805020202050,20201124,2,22
23,1,A,1,805020202050,20201124,2,23
24,2,A,0,805020202050,20201124,2,24
25,1,A,1,805020202050,20201124,2,25
26,2,A,1,805020202050,20201124,2,26
27,1,A,1,805020202050,20201124,2,27
28,2,A,1,805020202050,20201124,2,28
29,1,A,1,805020202050,20201124,2,29
30,2,A,0,805020202050,20201124,2,30
31,1,A,0,805020202050,20201124,2,31
32,2,A,1,805020202050,20201124,2,32
33,1,A,1,805020202050,20201124,2,33
34,2,A,0,805020202050,20201124,2,34
35,1,A,0,805020202050,20201124,2,35
36,2,A,1,805020202050,20201124,2,36
37,1,A,1,805020202050,20201124,2,37
38,2,A,1,805020202050,20201124,2,38
39,1,A,1,805020202050,20201124,2,39
40,2,A,1,805020202050,20201124,2,40
41,1,A,1,805020202050,20201124,2,41
42,2,A,1,805020202050,20201124,2,42
43,1,A,1,805020202050,20201124,2,43
44,2,A,0,805020202050,20201124,2,44
45,4,B,0,805020202050,20201124,2,45
46,3,B,1,805020202050,20201124,2,46
47,4,B,0,805020202050,20201124,2,47
48,6,C,0,805020202050,20201124,2,48
49,5,C,0,805020202050,20201124,2,49
50,6,C,0,805020202050,20201124,2,50
51,2,A,1,805020202050,20201124,2,51
52,1,A,1,805020202050,20201124,2,52
53,2,A,1,805020202050,20201124,2,53
54,1,A,1,805020202050,20201124,2,54
55,2,A,1,805020202050,20201124,2,55
56,1,A,1,805020202050,20201124,2,56
57,2,A,1,805020202050,20201124,2,57
58,1,A,1,805020202050,20201124,2,58
59,2,A,0,805020202050,20201124,2,59
60,4,B,1,202050205080,20201124,2,60
61,3,B,0,202050205080,20201124,2,61
62,4,B,0,202050205080,20201124,2,62
63,3,B,1,202050205080,20201124,2,63
64,2,A,0,202050205080,20201124,2,64
65,1,A,0,202050205080,20201124,2,65
66,2,A,0,202050205080,20201124,2,66
67,1,A,0,202050205080,20201124,2,67
68,2,A,0,202050205080,20201124,2,68
69,1,A,1,202050205080,20201124,2,69
70,2,A,0,202050205080,20201124,2,70
71,6,C,0,202050205080,20201124,2,71
72,5,C,0,202050205080,20201124,2,72
73,3,B,0,202050205080,20201124,2,73
74,4,B,0,202050205080,20201124,2,74
75,1,A,1,202050205080,20201124,2,75
76,2,A,0,202050205080,20201124,2,76
77,1,A,0,202050205080,20201124,2,77
78,2,A,0,202050205080,20201124,2,78
79,1,A,0,202050205080,20201124,2,79
80,4,B,0,202050205080,20201124,2,80
81,3,B,0,202050205080,20201124,2,81
82,1,A,0,202050205080,20201124,2,82
83,2,A,1,202050205080,20201124,2,83
84,1,A,0,202050205080,20201124,2,84
85,6,C,0,202050205080,20201124,2,85
86,5,C,1,202050205080,20201124,2,86
87,2,A,1,202050205080,20201124,2,87
88,1,A,1,202050205080,20201124,2,88
89,2,A,0,202050205080,20201124,2,89
90,4,B,0,202050205080,20201124,2,90
91,3,B,1,202050205080,20201124,2,91
92,2,A,1,202050205080,20201124,2,92
93,1,A,0,202050205080,20201124,2,93
94,2,A,0,202050205080,20201124,2,94
95,1,A,0,202050205080,20201124,2,95
96,2,A,1,202050205080,20201124,2,96
97,1,A,0,202050205080,20201124,2,97
98,2,A,0,202050205080,20201124,2,98
99,1,A,1,202050205080,20201124,2,99
100,2,A,1,202050205080,20201124,2,100
101,1,A,0,202050205080,20201124,2,101
102,2,A,0,202050205080,20201124,2,102
103,1,A,0,202050205080,20201124,2,103
104,2,A,1,202050205080,20201124,2,104
105,1,A,0,202050205080,20201124,2,105
106,2,A,0,202050205080,20201124,2,106
107,6,C,1,202050205080,20201124,2,107
108,5,C,0,202050205080,20201124,2,108
109,6,C,1,202050205080,20201124,2,109
110,5,C,0,202050205080,20201124,2,110
111,3,B,1,202050205080,20201124,2,111
112,4,B,0,202050205080,20201124,2,112
113,3,B,1,202050205080,20201124,2,113
114,4,B,0,202050205080,20201124,2,114
115,3,B,0,202050205080,20201124,2,115
116,4,B,1,202050205080,20201124,2,116
117,3,B,1,202050205080,20201124,2,117
118,4,B,0,202050205080,20201124,2,118
119,3,B,0,202050205080,20201124,2,119
120,4,B,1,208050802020,20201124,2,120
121,3,B,0,208050802020,20201124,2,121
122,4,B,1,208050802020,20201124,2,122
123,3,B,1,208050802020,20201124,2,123
124,4,B,1,208050802020,20201124,2,124
125,3,B,0,208050802020,20201124,2,125
126,4,B,1,208050802020,20201124,2,126
127,3,B,1,208050802020,20201124,2,127
128,4,B,1,208050802020,20201124,2,128
129,3,B,0,208050802020,20201124,2,129
130,4,B,1,208050802020,20201124,2,130
131,3,B,0,208050802020,20201124,2,131
132,4,B,1,208050802020,20201124,2,132
133,3,B,1,208050802020,20201124,2,133
134,4,B,1,208050802020,20201124,2,134
135,3,B,1,208050802020,20201124,2,135
136,4,B,1,208050802020,20201124,2,136
137,3,B,0,208050802020,20201124,2,137
138,4,B,1,208050802020,20201124,2,138
139,3,B,0,208050802020,20201124,2,139
140,4,B,1,208050802020,20201124,2,140
141,3,B,0,208050802020,20201124,2,141
142,4,B,1,208050802020,20201124,2,142
143,3,B,0,208050802020,20201124,2,143
144,4,B,0,208050802020,20201124,2,144
145,5,C,0,208050802020,20201124,2,145
146,6,C,0,208050802020,20201124,2,146
147,2,A,1,208050802020,20201124,2,147
148,1,A,1,208050802020,20201124,2,148
149,2,A,1,208050802020,20201124,2,149
150,3,B,1,208050802020,20201124,2,150
151,4,B,1,208050802020,20201124,2,151
152,3,B,0,208050802020,20201124,2,152
153,4,B,1,208050802020,20201124,2,153
154,3,B,0,208050802020,20201124,2,154
155,4,B,1,208050802020,20201124,2,155
156,3,B,0,208050802020,20201124,2,156
157,4,B,1,208050802020,20201124,2,157
158,3,B,0,208050802020,20201124,2,158
159,4,B,0,208050802020,20201124,2,159
160,2,A,1,208050802020,20201124,2,160
161,1,A,0,208050802020,20201124,2,161
162,2,A,1,208050802020,20201124,2,162
163,1,A,0,208050802020,20201124,2,163
164,2,A,1,208050802020,20201124,2,164
165,4,B,1,208050802020,20201124,2,165
166,3,B,1,208050802020,20201124,2,166
167,4,B,0,208050802020,20201124,2,167
168,3,B,0,208050802020,20201124,2,168
169,4,B,0,208050802020,20201124,2,169
170,5,C,0,208050802020,20201124,2,170
171,6,C,0,208050802020,20201124,2,171
172,5,C,1,208050802020,20201124,2,172
173,6,C,0,208050802020,20201124,2,173
174,3,B,0,208050802020,20201124,2,174
175,4,B,1,208050802020,20201124,2,175
176,3,B,1,208050802020,20201124,2,176
177,4,B,1,208050802020,20201124,2,177
178,3,B,0,208050802020,20201124,2,178
179,4,B,1,208050802020,20201124,2,179
180,1,A,0,502020805080,20201124,4,0
181,3,B,0,502020805080,20201124,4,1
182,4,B,1,502020805080,20201124,4,2
183,5,C,0,502020805080,20201124,4,3
184,6,C,1,502020805080,20201124,4,4
185,4,B,1,502020805080,20201124,4,5
186,3,B,0,502020805080,20201124,4,6
187,4,B,1,502020805080,20201124,4,7
188,5,C,0,502020805080,20201124,4,8
189,6,C,1,502020805080,20201124,4,9
190,2,A,0,502020805080,20201124,4,10
191,1,A,0,502020805080,20201124,4,11
192,5,C,0,502020805080,20201124,4,12
193,6,C,0,502020805080,20201124,4,13
194,4,B,1,502020805080,20201124,4,14
195,3,B,0,502020805080,20201124,4,15
196,4,B,1,502020805080,20201124,4,16
197,6,C,1,502020805080,20201124,4,17
198,5,C,0,502020805080,20201124,4,18
199,6,C,1,502020805080,20201124,4,19
200,5,C,0,502020805080,20201124,4,20
201,6,C,1,502020805080,20201124,4,21
202,5,C,0,502020805080,20201124,4,22
203,6,C,0,502020805080,20201124,4,23
204,4,B,1,502020805080,20201124,4,24
205,3,B,0,502020805080,20201124,4,25
206,4,B,1,502020805080,20201124,4,26
207,6,C,1,502020805080,20201124,4,27
208,5,C,1,502020805080,20201124,4,28
209,6,C,1,502020805080,20201124,4,29
210,5,C,1,502020805080,20201124,4,30
211,6,C,1,502020805080,20201124,4,31
212,5,C,1,502020805080,20201124,4,32
213,6,C,1,502020805080,20201124,4,33
214,5,C,0,502020805080,20201124,4,34
215,6,C,0,502020805080,20201124,4,35
216,4,B,1,502020805080,20201124,4,36
217,6,C,1,502020805080,20201124,4,37
218,5,C,0,502020805080,20201124,4,38
219,6,C,1,502020805080,20201124,4,39
220,5,C,0,502020805080,20201124,4,40
221,6,C,1,502020805080,20201124,4,41
222,4,B,1,502020805080,20201124,4,42
223,3,B,0,502020805080,20201124,4,43
224,4,B,1,502020805080,20201124,4,44
225,6,C,1,502020805080,20201124,4,45
226,5,C,0,502020805080,20201124,4,46
227,6,C,1,502020805080,20201124,4,47
228,4,B,1,502020805080,20201124,4,48
229,6,C,1,502020805080,20201124,4,49
230,5,C,0,502020805080,20201124,4,50
231,6,C,1,502020805080,20201124,4,51
232,5,C,0,502020805080,20201124,4,52
233,6,C,1,502020805080,20201124,4,53
234,4,B,1,502020805080,20201124,4,54
235,6,C,1,502020805080,20201124,4,55
236,5,C,0,502020805080,20201124,4,56
237,6,C,1,502020805080,20201124,4,57
238,4,B,1,502020805080,20201124,4,58
239,6,C,1,502020805080,20201124,4,59
240,5,C,1,505050202020,20201124,4,60
241,6,C,0,505050202020,20201124,4,61
242,4,B,0,505050202020,20201124,4,62
243,2,A,1,505050202020,20201124,4,63
244,1,A,1,505050202020,20201124,4,64
245,6,C,0,505050202020,20201124,4,65
246,5,C,0,505050202020,20201124,4,66
247,6,C,1,505050202020,20201124,4,67
248,5,C,0,505050202020,20201124,4,68
249,6,C,0,505050202020,20201124,4,69
250,4,B,0,505050202020,20201124,4,70
251,3,B,0,505050202020,20201124,4,71
252,4,B,1,505050202020,20201124,4,72
253,6,C,0,505050202020,20201124,4,73
254,5,C,0,505050202020,20201124,4,74
255,6,C,0,505050202020,20201124,4,75
256,2,A,0,505050202020,20201124,4,76
257,4,B,0,505050202020,20201124,4,77
258,5,C,0,505050202020,20201124,4,78
259,6,C,0,505050202020,20201124,4,79
260,5,C,0,505050202020,20201124,4,80
261,6,C,0,505050202020,20201124,4,81
262,5,C,0,505050202020,20201124,4,82
263,4,B,0,505050202020,20201124,4,83
264,2,A,1,505050202020,20201124,4,84
265,1,A,1,505050202020,20201124,4,85
266,2,A,1,505050202020,20201124,4,86
267,6,C,0,505050202020,20201124,4,87
268,5,C,0,505050202020,20201124,4,88
269,6,C,0,505050202020,20201124,4,89
270,4,B,1,505050202020,20201124,4,90
271,3,B,1,505050202020,20201124,4,91
272,4,B,0,505050202020,20201124,4,92
273,2,A,0,505050202020,20201124,4,93
274,1,A,1,505050202020,20201124,4,94
275,2,A,1,505050202020,20201124,4,95
276,5,C,0,505050202020,20201124,4,96
277,6,C,1,505050202020,20201124,4,97
278,5,C,0,505050202020,20201124,4,98
279,4,B,0,505050202020,20201124,4,99
280,3,B,0,505050202020,20201124,4,100
281,4,B,0,505050202020,20201124,4,101
282,2,A,0,505050202020,20201124,4,102
283,1,A,0,505050202020,20201124,4,103
284,2,A,1,505050202020,20201124,4,104
285,4,B,0,505050202020,20201124,4,105
286,3,B,1,505050202020,20201124,4,106
287,4,B,0,505050202020,20201124,4,107
288,6,C,1,505050202020,20201124,4,108
289,5,C,0,505050202020,20201124,4,109
290,6,C,1,505050202020,20201124,4,110
291,5,C,0,505050202020,20201124,4,111
292,6,C,0,505050202020,20201124,4,112
293,2,A,0,505050202020,20201124,4,113
294,1,A,0,505050202020,20201124,4,114
295,2,A,1,505050202020,20201124,4,115
296,4,B,0,505050202020,20201124,4,116
297,3,B,0,505050202020,20201124,4,117
298,4,B,0,505050202020,20201124,4,118
299,6,C,0,505050202020,20201124,4,119
300,5,C,1,205080502020,20201124,4,120
301,6,C,0,205080502020,20201124,4,121
302,4,B,1,205080502020,20201124,4,122
303,3,B,1,205080502020,20201124,4,123
304,4,B,0,205080502020,20201124,4,124
305,2,A,0,205080502020,20201124,4,125
306,1,A,1,205080502020,20201124,4,126
307,2,A,0,205080502020,20201124,4,127
308,6,C,1,205080502020,20201124,4,128
309,5,C,0,205080502020,20201124,4,129
310,6,C,1,205080502020,20201124,4,130
311,4,B,1,205080502020,20201124,4,131
312,3,B,1,205080502020,20201124,4,132
313,4,B,1,205080502020,20201124,4,133
314,3,B,0,205080502020,20201124,4,134
315,4,B,1,205080502020,20201124,4,135
316,3,B,1,205080502020,20201124,4,136
317,4,B,0,205080502020,20201124,4,137
318,3,B,1,205080502020,20201124,4,138
319,4,B,0,205080502020,20201124,4,139
320,3,B,0,205080502020,20201124,4,140
321,2,A,1,205080502020,20201124,4,141
322,1,A,0,205080502020,20201124,4,142
323,2,A,1,205080502020,20201124,4,143
324,4,B,1,205080502020,20201124,4,144
325,3,B,0,205080502020,20201124,4,145
326,4,B,1,205080502020,20201124,4,146
327,2,A,1,205080502020,20201124,4,147
328,1,A,1,205080502020,20201124,4,148
329,2,A,0,205080502020,20201124,4,149
330,6,C,0,205080502020,20201124,4,150
331,5,C,0,205080502020,20201124,4,151
332,6,C,0,205080502020,20201124,4,152
333,4,B,0,205080502020,20201124,4,153
334,3,B,1,205080502020,20201124,4,154
335,4,B,1,205080502020,20201124,4,155
336,3,B,0,205080502020,20201124,4,156
337,4,B,0,205080502020,20201124,4,157
338,2,A,0,205080502020,20201124,4,158
339,1,A,0,205080502020,20201124,4,159
340,2,A,1,205080502020,20201124,4,160
341,6,C,1,205080502020,20201124,4,161
342,5,C,1,205080502020,20201124,4,162
343,6,C,0,205080502020,20201124,4,163
344,4,B,0,205080502020,20201124,4,164
345,3,B,1,205080502020,20201124,4,165
346,4,B,1,205080502020,20201124,4,166
347,3,B,1,205080502020,20201124,4,167
348,4,B,0,205080502020,20201124,4,168
349,3,B,1,205080502020,20201124,4,169
350,4,B,1,205080502020,20201124,4,170
351,3,B,1,205080502020,20201124,4,171
352,4,B,1,205080502020,20201124,4,172
353,3,B,1,205080502020,20201124,4,173
354,4,B,1,205080502020,20201124,4,174
355,3,B,1,205080502020,20201124,4,175
356,4,B,1,205080502020,20201124,4,176
357,3,B,1,205080502020,20201124,4,177
358,4,B,1,205080502020,20201124,4,178
359,3,B,0,205080502020,20201124,4,179
360,2,A,0,202080502080,20201124,5,0
361,1,A,0,202080502080,20201124,5,1
362,6,C,1,202080502080,20201124,5,2
363,5,C,1,202080502080,20201124,5,3
364,4,B,0,202080502080,20201124,5,4
365,3,B,1,202080502080,20201124,5,5
366,4,B,0,202080502080,20201124,5,6
367,2,A,0,202080502080,20201124,5,7
368,1,A,0,202080502080,20201124,5,8
369,5,C,0,202080502080,20201124,5,9
370,6,C,1,202080502080,20201124,5,10
371,4,B,1,202080502080,20201124,5,11
372,3,B,1,202080502080,20201124,5,12
373,4,B,1,202080502080,20201124,5,13
374,3,B,1,202080502080,20201124,5,14
375,4,B,1,202080502080,20201124,5,15
376,3,B,1,202080502080,20201124,5,16
377,4,B,1,202080502080,20201124,5,17
378,3,B,0,202080502080,20201124,5,18
379,4,B,0,202080502080,20201124,5,19
380,5,C,0,202080502080,20201124,5,20
381,6,C,0,202080502080,20201124,5,21
382,2,A,0,202080502080,20201124,5,22
383,1,A,1,202080502080,20201124,5,23
384,2,A,1,202080502080,20201124,5,24
385,4,B,0,202080502080,20201124,5,25
386,3,B,1,202080502080,20201124,5,26
387,4,B,0,202080502080,20201124,5,27
388,3,B,1,202080502080,20201124,5,28
389,4,B,0,202080502080,20201124,5,29
390,3,B,0,202080502080,20201124,5,30
391,6,C,0,202080502080,20201124,5,31
392,5,C,0,202080502080,20201124,5,32
393,3,B,1,202080502080,20201124,5,33
394,4,B,0,202080502080,20201124,5,34
395,3,B,1,202080502080,20201124,5,35
396,4,B,1,202080502080,20201124,5,36
397,3,B,1,202080502080,20201124,5,37
398,4,B,0,202080502080,20201124,5,38
399,3,B,1,202080502080,20201124,5,39
400,4,B,0,202080502080,20201124,5,40
401,3,B,1,202080502080,20201124,5,41
402,4,B,0,202080502080,20201124,5,42
403,3,B,1,202080502080,20201124,5,43
404,4,B,0,202080502080,20201124,5,44
405,3,B,1,202080502080,20201124,5,45
406,4,B,1,202080502080,20201124,5,46
407,3,B,1,202080502080,20201124,5,47
408,4,B,0,202080502080,20201124,5,48
409,3,B,0,202080502080,20201124,5,49
410,4,B,1,202080502080,20201124,5,50
411,3,B,0,202080502080,20201124,5,51
412,4,B,1,202080502080,20201124,5,52
413,3,B,1,202080502080,20201124,5,53
414,4,B,0,202080502080,20201124,5,54
415,3,B,1,202080502080,20201124,5,55
416,4,B,0,202080502080,20201124,5,56
417,3,B,1,202080502080,20201124,5,57
418,4,B,0,202080502080,20201124,5,58
419,3,B,1,202080502080,20201124,5,59
420,4,B,0,805020502020,20201124,5,60
421,3,B,0,805020502020,20201124,5,61
422,4,B,0,805020502020,20201124,5,62
423,3,B,0,805020502020,20201124,5,63
424,2,A,1,805020502020,20201124,5,64
425,1,A,1,805020502020,20201124,5,65
426,2,A,0,805020502020,20201124,5,66
427,4,B,1,805020502020,20201124,5,67
428,3,B,0,805020502020,20201124,5,68
429,4,B,0,805020502020,20201124,5,69
430,3,B,0,805020502020,20201124,5,70
431,4,B,1,805020502020,20201124,5,71
